PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evennessCV,movedToNewInstances,movedBetweenOldInstances,STBetweenOldInstances,maxResourceCount,maxPartitionCount,maxCapacityKeyUsage,maxTopStateUsage
60.0,80.0,86.0,64.0,49.0,0.7512118,31.0,0.0,0.0,0.5986027,0.6080954,0.7512118,0.51724446
32.0,95.0,30.0,4.0,51.0,0.74805224,31.0,0.0,0.0,0.6071329,0.62254363,0.74805224,0.5723209
20.0,18.0,96.0,60.0,67.0,0.7794243,31.0,1.0,0.0,0.6080954,0.6080954,0.7794243,0.51724446
28.0,25.0,95.0,82.0,73.0,0.74745244,31.0,1.0,0.0,0.60657376,0.6080954,0.74745244,0.51724446
93.0,9.0,32.0,41.0,72.0,1.1127057,0.0,0.0,0.0,1.0144362,1.0268064,1.1127057,1.0805936
46.0,51.0,91.0,77.0,15.0,0.72004056,31.0,0.0,0.0,0.5986027,0.6080954,0.72004056,0.51724446
60.0,92.0,88.0,13.0,66.0,0.9275636,15.0,0.0,0.0,0.8166335,0.81434584,0.9275636,0.77948374
66.0,89.0,92.0,2.0,78.0,0.9565448,11.0,0.0,0.0,0.8630078,0.8774067,0.95654476,0.8761392
66.0,100.0,87.0,19.0,86.0,0.95988417,15.0,0.0,0.0,0.8166335,0.81434584,0.95988417,0.77948374
30.0,74.0,75.0,95.0,99.0,0.76570386,31.0,0.0,0.0,0.60657376,0.6080954,0.76570386,0.51724446
88.0,24.0,33.0,88.0,53.0,1.1372763,0.0,0.0,0.0,1.0195383,1.0268064,1.1372763,1.0429142
82.0,94.0,37.0,11.0,69.0,1.1536506,0.0,0.0,0.0,1.0117869,1.0268064,1.1536506,1.0898099
82.0,69.0,3.0,69.0,62.0,1.09567,0.0,0.0,0.0,1.0243523,1.0268064,1.09567,1.0429142
25.0,91.0,38.0,21.0,1.0,0.74317616,35.0,4.0,0.0,0.5377714,0.55457014,0.74317616,0.55457014
25.0,19.0,21.0,10.0,18.0,1.0756727,0.0,0.0,0.0,1.0117869,1.0268064,1.0756727,1.0805936
87.0,23.0,83.0,41.0,25.0,1.1018187,0.0,0.0,0.0,1.0117869,1.0268064,1.1018187,1.0805936
5.0,35.0,55.0,26.0,84.0,0.5964262,45.0,5.0,1.0,0.4262506,0.40657547,0.5964262,0.43304655
30.0,82.0,3.0,89.0,96.0,0.79873383,31.0,0.0,0.0,0.62345934,0.6153619,0.79873383,0.5362322
31.0,4.0,82.0,46.0,80.0,0.9749634,10.0,0.0,0.0,0.8760166,0.89247596,0.9749634,0.88748133
77.0,86.0,70.0,56.0,41.0,0.92263246,14.0,0.0,0.0,0.8296331,0.83056,0.92263246,0.7922109
20.0,66.0,37.0,23.0,97.0,0.8004928,31.0,1.0,0.0,0.604873,0.6080954,0.8004928,0.5362322
2.0,99.0,72.0,20.0,47.0,0.5584614,45.0,5.0,0.0,0.4262506,0.40657547,0.5584614,0.43304655
13.0,11.0,79.0,88.0,20.0,0.79350877,31.0,1.0,0.0,0.6080954,0.6080954,0.79350877,0.51724446
14.0,32.0,52.0,64.0,63.0,0.8046429,31.0,0.0,0.0,0.60657376,0.6080954,0.8046429,0.51724446
69.0,63.0,25.0,47.0,22.0,1.0924996,3.0,0.0,0.0,0.9808596,0.9870759,1.0924996,0.98369265
80.0,87.0,49.0,34.0,55.0,1.074929,3.0,0.0,0.0,0.9698388,0.9870759,1.074929,1.0332797
70.0,92.0,76.0,7.0,79.0,1.0437638,4.0,0.0,0.0,0.95610726,0.9734722,1.0437638,1.0038214
